Program	fastqFile	Computer	readsInFastq	extractionSize	readsExtracted	Replicate	Threads	ElapsedTime	CPUKernTime	CPUserTime	MaxResidentMemoryInKb	PercentCPU
seqkit	UP9-all.fastq	fastIO	6031394.00	6031.00	6031.00	1.00	1.00	9.60	1.43	8.18	19880.00	100%
seqkit	UP9-all.fastq	fastIO	6031394.00	6031.00	6031.00	1.00	2.00	9.46	1.58	8.30	18312.00	104%
seqkit	UP9-all.fastq	fastIO	6031394.00	6031.00	6031.00	1.00	3.00	9.41	1.64	8.42	19432.00	106%
fqGetIds	UP9-all.fastq	fastIO	6031394.00	6031.00	6031.00	1.00	1.00	9.19	1.04	8.15	2144.00	99%
fqGetIdsMem	UP9-all.fastq	fastIO	6031394.00	6031.00	6031.00	1.00	1.00	9.19	0.88	8.30	2156.00	99%
seqkit	UP9-all.fastq	fastIO	6031394.00	6031.00	6031.00	2.00	1.00	9.59	1.53	8.09	20304.00	100%
seqkit	UP9-all.fastq	fastIO	6031394.00	6031.00	6031.00	2.00	2.00	9.49	1.53	8.35	19596.00	104%
seqkit	UP9-all.fastq	fastIO	6031394.00	6031.00	6031.00	2.00	3.00	9.45	1.55	8.54	19352.00	106%
fqGetIds	UP9-all.fastq	fastIO	6031394.00	6031.00	6031.00	2.00	1.00	9.05	0.98	8.06	2148.00	99%
fqGetIdsMem	UP9-all.fastq	fastIO	6031394.00	6031.00	6031.00	2.00	1.00	9.19	0.82	8.36	2112.00	99%
seqkit	UP9-all.fastq	fastIO	6031394.00	6031.00	6031.00	3.00	1.00	9.61	1.75	7.88	20440.00	100%
seqkit	UP9-all.fastq	fastIO	6031394.00	6031.00	6031.00	3.00	2.00	9.47	1.50	8.39	18572.00	104%
seqkit	UP9-all.fastq	fastIO	6031394.00	6031.00	6031.00	3.00	3.00	9.42	1.82	8.27	19316.00	107%
fqGetIds	UP9-all.fastq	fastIO	6031394.00	6031.00	6031.00	3.00	1.00	9.07	0.98	8.08	2232.00	99%
fqGetIdsMem	UP9-all.fastq	fastIO	6031394.00	6031.00	6031.00	3.00	1.00	9.20	0.98	8.21	2164.00	100%
seqkit	UP9-all.fastq	fastIO	6031394.00	6031.00	6031.00	4.00	1.00	9.60	1.44	8.18	19828.00	100%
seqkit	UP9-all.fastq	fastIO	6031394.00	6031.00	6031.00	4.00	2.00	9.47	1.67	8.20	19500.00	104%
seqkit	UP9-all.fastq	fastIO	6031394.00	6031.00	6031.00	4.00	3.00	9.43	1.61	8.44	18896.00	106%
fqGetIds	UP9-all.fastq	fastIO	6031394.00	6031.00	6031.00	4.00	1.00	9.05	0.93	8.12	2108.00	99%
fqGetIdsMem	UP9-all.fastq	fastIO	6031394.00	6031.00	6031.00	4.00	1.00	9.18	0.95	8.22	2164.00	100%
seqkit	UP9-all.fastq	fastIO	6031394.00	6031.00	6031.00	5.00	1.00	9.62	1.48	8.16	19780.00	100%
seqkit	UP9-all.fastq	fastIO	6031394.00	6031.00	6031.00	5.00	2.00	9.45	1.49	8.35	18912.00	104%
seqkit	UP9-all.fastq	fastIO	6031394.00	6031.00	6031.00	5.00	3.00	9.44	1.65	8.47	20384.00	107%
fqGetIds	UP9-all.fastq	fastIO	6031394.00	6031.00	6031.00	5.00	1.00	9.10	0.93	8.16	2108.00	100%
fqGetIdsMem	UP9-all.fastq	fastIO	6031394.00	6031.00	6031.00	5.00	1.00	9.19	1.04	8.15	2172.00	99%
seqkit	UP9-all.fastq	fastIO	6031394.00	6031.00	6031.00	6.00	1.00	9.63	1.40	8.25	19240.00	100%
seqkit	UP9-all.fastq	fastIO	6031394.00	6031.00	6031.00	6.00	2.00	9.46	1.56	8.30	18808.00	104%
seqkit	UP9-all.fastq	fastIO	6031394.00	6031.00	6031.00	6.00	3.00	9.43	1.63	8.46	19236.00	107%
fqGetIds	UP9-all.fastq	fastIO	6031394.00	6031.00	6031.00	6.00	1.00	9.05	0.89	8.16	2172.00	100%
fqGetIdsMem	UP9-all.fastq	fastIO	6031394.00	6031.00	6031.00	6.00	1.00	9.19	0.98	8.21	2172.00	100%
seqkit	UP9-all.fastq	fastIO	6031394.00	6031.00	6031.00	7.00	1.00	9.61	1.49	8.14	19608.00	100%
seqkit	UP9-all.fastq	fastIO	6031394.00	6031.00	6031.00	7.00	2.00	9.44	1.57	8.28	18952.00	104%
seqkit	UP9-all.fastq	fastIO	6031394.00	6031.00	6031.00	7.00	3.00	9.45	1.71	8.39	18792.00	106%
fqGetIds	UP9-all.fastq	fastIO	6031394.00	6031.00	6031.00	7.00	1.00	9.07	0.90	8.17	2232.00	99%
fqGetIdsMem	UP9-all.fastq	fastIO	6031394.00	6031.00	6031.00	7.00	1.00	9.19	0.93	8.26	2168.00	100%
seqkit	UP9-all.fastq	fastIO	6031394.00	6031.00	6031.00	8.00	1.00	9.64	1.59	8.07	20352.00	100%
seqkit	UP9-all.fastq	fastIO	6031394.00	6031.00	6031.00	8.00	2.00	9.46	1.52	8.34	19804.00	104%
seqkit	UP9-all.fastq	fastIO	6031394.00	6031.00	6031.00	8.00	3.00	9.47	1.65	8.45	20056.00	106%
fqGetIds	UP9-all.fastq	fastIO	6031394.00	6031.00	6031.00	8.00	1.00	9.08	1.02	8.05	2148.00	99%
fqGetIdsMem	UP9-all.fastq	fastIO	6031394.00	6031.00	6031.00	8.00	1.00	9.18	0.88	8.30	2144.00	99%
seqkit	UP9-all.fastq	fastIO	6031394.00	6031.00	6031.00	9.00	1.00	9.62	1.47	8.17	19336.00	100%
seqkit	UP9-all.fastq	fastIO	6031394.00	6031.00	6031.00	9.00	2.00	9.46	1.66	8.19	18828.00	104%
seqkit	UP9-all.fastq	fastIO	6031394.00	6031.00	6031.00	9.00	3.00	9.44	1.66	8.32	19360.00	105%
fqGetIds	UP9-all.fastq	fastIO	6031394.00	6031.00	6031.00	9.00	1.00	9.11	0.90	8.20	2160.00	99%
fqGetIdsMem	UP9-all.fastq	fastIO	6031394.00	6031.00	6031.00	9.00	1.00	9.19	1.06	8.13	2112.00	100%
seqkit	UP9-all.fastq	fastIO	6031394.00	6031.00	6031.00	10.00	1.00	9.60	1.59	8.03	19248.00	100%
seqkit	UP9-all.fastq	fastIO	6031394.00	6031.00	6031.00	10.00	2.00	9.47	1.47	8.42	18520.00	104%
seqkit	UP9-all.fastq	fastIO	6031394.00	6031.00	6031.00	10.00	3.00	9.46	1.58	8.52	19636.00	106%
fqGetIds	UP9-all.fastq	fastIO	6031394.00	6031.00	6031.00	10.00	1.00	9.06	0.87	8.18	2140.00	100%
fqGetIdsMem	UP9-all.fastq	fastIO	6031394.00	6031.00	6031.00	10.00	1.00	9.19	0.86	8.32	2160.00	99%
seqkit	UP9-all.fastq	fastIO	6031394.00	60313.00	60313.00	1.00	1.00	10.23	1.60	8.65	33948.00	100%
seqkit	UP9-all.fastq	fastIO	6031394.00	60313.00	60313.00	1.00	2.00	9.87	1.54	8.94	32408.00	106%
seqkit	UP9-all.fastq	fastIO	6031394.00	60313.00	60313.00	1.00	3.00	9.81	1.64	8.76	32308.00	105%
fqGetIds	UP9-all.fastq	fastIO	6031394.00	60313.00	60313.00	1.00	1.00	9.43	1.12	8.30	8840.00	99%
fqGetIdsMem	UP9-all.fastq	fastIO	6031394.00	60313.00	60313.00	1.00	1.00	9.57	0.98	8.59	8788.00	100%
seqkit	UP9-all.fastq	fastIO	6031394.00	60313.00	60313.00	2.00	1.00	10.21	1.60	8.63	33908.00	100%
seqkit	UP9-all.fastq	fastIO	6031394.00	60313.00	60313.00	2.00	2.00	9.88	1.60	8.89	32164.00	106%
seqkit	UP9-all.fastq	fastIO	6031394.00	60313.00	60313.00	2.00	3.00	9.75	1.68	8.59	32316.00	105%
fqGetIds	UP9-all.fastq	fastIO	6031394.00	60313.00	60313.00	2.00	1.00	9.42	1.12	8.30	8832.00	100%
fqGetIdsMem	UP9-all.fastq	fastIO	6031394.00	60313.00	60313.00	2.00	1.00	9.58	1.13	8.45	8872.00	100%
