pipeline	percId	majorRef	minorReft	noMajorRef	noMinorRef	noBinMajorRef	noBinMinorRef	noBinJunk	noBinRand	time	memory	mappedRef	acutalRef	mismatches	indels	length	alnLength	ins	del	Duplicated
oldPipe	2.00	AB361574-ORF2	KX098762-ORF2	13911.00	14326.00	7150.00	5.00	0.00	0.00	101.23	408456.00	HQ202949-ORF2	AB361574-ORF2	0.00	1.00	0.00	0.00	0.00	0.00	FALSE
oldPipe	2.00	AB361574-ORF2	KX098762-ORF2	13911.00	14326.00	129.00	12535.00	2.00	0.00	101.23	408456.00	KX098762-ORF2	KX098762-ORF2	0.00	1.00	0.00	0.00	0.00	0.00	FALSE
newPipe	2.00	AB361574-ORF2	KX098762-ORF2	13911.00	14326.00	7069.00	3.00	0.00	0.00	119.82	406812.00	HQ202949-ORF2	AB361574-ORF2	0.00	1.00	0.00	0.00	0.00	0.00	FALSE
newPipe	2.00	AB361574-ORF2	KX098762-ORF2	13911.00	14326.00	86.00	12036.00	0.00	0.00	119.82	406812.00	KX098762-ORF2	KX098762-ORF2	0.00	1.00	0.00	0.00	0.00	0.00	FALSE
newClustPipe	2.00	AB361574-ORF2	KX098762-ORF2	13911.00	14326.00	4763.00	1.00	0.00	0.00	1678.44	408776.00	HQ202949-ORF2	AB361574-ORF2	0.00	1.00	0.00	0.00	0.00	0.00	FALSE
newClustPipe	2.00	AB361574-ORF2	KX098762-ORF2	13911.00	14326.00	6.00	5929.00	0.00	0.00	1678.44	408776.00	KX098762-ORF2	KX098762-ORF2	0.00	1.00	0.00	0.00	0.00	0.00	FALSE
allReads	2.00	AB512130-ORF2	JF683403-ORF2	14485.00	14319.00	5018.00	12418.00	2.00	1.00	703.70	456348.00	JF683403-ORF2	JF683403-ORF2	1.00	0.00	0.00	0.00	0.00	0.00	FALSE
oldPipe	2.00	AB512130-ORF2	JF683403-ORF2	14485.00	14319.00	113.00	12389.00	2.00	1.00	107.32	414292.00	JF683403-ORF2	JF683403-ORF2	0.00	0.00	0.00	0.00	0.00	0.00	FALSE
oldPipe	2.00	AB512130-ORF2	JF683403-ORF2	14485.00	14319.00	4544.00	4.00	0.00	0.00	107.32	414292.00	KT868187-ORF2	AB512130-ORF2	0.00	0.00	0.00	0.00	0.00	0.00	FALSE
newPipe	2.00	AB512130-ORF2	JF683403-ORF2	14485.00	14319.00	75.00	11932.00	0.00	0.00	120.56	411656.00	JF683403-ORF2	JF683403-ORF2	0.00	1.00	0.00	0.00	0.00	0.00	FALSE
newPipe	2.00	AB512130-ORF2	JF683403-ORF2	14485.00	14319.00	4582.00	2.00	0.00	0.00	120.56	411656.00	KT868187-ORF2	AB512130-ORF2	0.00	0.00	0.00	0.00	0.00	0.00	FALSE
newClustPipe	2.00	AB512130-ORF2	JF683403-ORF2	14485.00	14319.00	3.00	6055.00	0.00	0.00	1469.72	408144.00	JF683403-ORF2	JF683403-ORF2	0.00	3.00	0.00	0.00	0.00	0.00	FALSE
newClustPipe	2.00	AB512130-ORF2	JF683403-ORF2	14485.00	14319.00	3276.00	0.00	0.00	0.00	1469.72	408144.00	KT868187-ORF2	AB512130-ORF2	0.00	1.00	0.00	0.00	0.00	0.00	FALSE
allReads	1.30	AB512130-ORF2	KT868187-ORF2	14536.00	14599.00	4926.00	12779.00	2.00	1.00	628.57	429440.00	KT868187-ORF2	KT868187-ORF2	1.00	1.00	0.00	0.00	0.00	0.00	FALSE
oldPipe	1.30	AB512130-ORF2	KT868187-ORF2	14536.00	14599.00	170.00	2.00	0.00	0.00	74.76	408088.00	KT868187-ORF2	AB512130-ORF2	0.00	0.00	0.00	0.00	0.00	0.00	FALSE
oldPipe	1.30	AB512130-ORF2	KT868187-ORF2	14536.00	14599.00	4534.00	12760.00	2.00	1.00	74.76	408088.00	KT868187-ORF2	KT868187-ORF2	0.00	0.00	0.00	0.00	0.00	0.00	FALSE
newPipe	1.30	AB512130-ORF2	KT868187-ORF2	14536.00	14599.00	145.00	1.00	0.00	0.00	91.87	405204.00	KT868187-ORF2	AB512130-ORF2	0.00	0.00	0.00	0.00	0.00	0.00	FALSE
newPipe	1.30	AB512130-ORF2	KT868187-ORF2	14536.00	14599.00	4361.00	12326.00	0.00	0.00	91.87	405204.00	KT868187-ORF2	KT868187-ORF2	0.00	0.00	0.00	0.00	0.00	0.00	FALSE
newClustPipe	1.30	AB512130-ORF2	KT868187-ORF2	14536.00	14599.00	1203.00	5892.00	0.00	0.00	1524.70	413772.00	KT868187-ORF2	KT868187-ORF2	0.00	1.00	0.00	0.00	0.00	0.00	FALSE
newClustPipe	1.30	AB512130-ORF2	KT868187-ORF2	14536.00	14599.00	1750.00	67.00	0.00	0.00	1524.70	413772.00	KT868187-ORF2	AB512130-ORF2	0.00	0.00	0.00	0.00	0.00	0.00	FALSE
allReads	2.00	EU450613-ORF2	KX828216-ORF2	14087.00	14073.00	2436.00	12450.00	2.00	0.00	841.01	605436.00	KX828216-ORF2	KX828216-ORF2	0.00	0.00	0.00	0.00	0.00	0.00	FALSE
oldPipe	2.00	EU450613-ORF2	KX828216-ORF2	14087.00	14073.00	481.00	0.00	0.00	0.00	131.97	408508.00	KX510064-ORF2	EU450613-ORF2	0.00	1.00	0.00	0.00	0.00	0.00	TRUE
oldPipe	2.00	EU450613-ORF2	KX828216-ORF2	14087.00	14073.00	1419.00	3.00	0.00	0.00	131.97	408508.00	KX510064-ORF2	EU450613-ORF2	0.00	0.00	0.00	0.00	0.00	0.00	FALSE
oldPipe	2.00	EU450613-ORF2	KX828216-ORF2	14087.00	14073.00	202.00	12429.00	2.00	0.00	131.97	408508.00	KX828216-ORF2	KX828216-ORF2	0.00	0.00	0.00	0.00	0.00	0.00	FALSE
newPipe	2.00	EU450613-ORF2	KX828216-ORF2	14087.00	14073.00	2039.00	1.00	0.00	0.00	135.43	411416.00	KX510064-ORF2	EU450613-ORF2	0.00	1.00	0.00	0.00	0.00	0.00	FALSE
