Prefix	fqFile	ReferenceFile	numTimesRebuildCon	MajorityConsensus	RaconUsed	MedakaUsed	MedakaModel	referenceLength	Consensus	Reference	readLength	AlignedReadLength	SNPs	Insertions	Deletions	ReadsInCluster	DetectedReferences	DectableReferences	TotalReferences	elapsedTime	userTime	kernalTime	maxResidentMemory	cpuPercentage	primers	maxReadLength	minPercReadsToKeepClust
ASHURE-full-20230314-trim	ASURE--All--A.fastq	ASURE-ref.fasta	2	TRUE	FALSE	FALSE	NA	654	ASHURE-full-20230314-trim--ASURE--All--A--clust--clust-0--con.fasta	HAP35	656	647	0	0	7	56097	27	41	50	4678.46	9389.22	730.98	1114752	216%	ASURE-pipeline--primers.fasta	750	0.003
ASHURE-full-20230314-trim	ASURE--All--A.fastq	ASURE-ref.fasta	2	TRUE	FALSE	FALSE	NA	658	ASHURE-full-20230314-trim--ASURE--All--A--clust--clust-10--con.fasta	HAP36	655	650	1	1	9	57422	27	41	50	4678.46	9389.22	730.98	1114752	216%	ASURE-pipeline--primers.fasta	750	0.003
ASHURE-full-20230314-trim	ASURE--All--A.fastq	ASURE-ref.fasta	2	TRUE	FALSE	FALSE	NA	658	ASHURE-full-20230314-trim--ASURE--All--A--clust--clust-11--con.fasta	HAP38	655	653	0	1	6	40866	27	41	50	4678.46	9389.22	730.98	1114752	216%	ASURE-pipeline--primers.fasta	750	0.003
ASHURE-full-20230314-trim	ASURE--All--A.fastq	ASURE-ref.fasta	2	TRUE	FALSE	FALSE	NA	658	ASHURE-full-20230314-trim--ASURE--All--A--clust--clust-12--con.fasta	HAP62	660	658	0	1	1	73245	27	41	50	4678.46	9389.22	730.98	1114752	216%	ASURE-pipeline--primers.fasta	750	0.003
ASHURE-full-20230314-trim	ASURE--All--A.fastq	ASURE-ref.fasta	2	TRUE	FALSE	FALSE	NA	658	ASHURE-full-20230314-trim--ASURE--All--A--clust--clust-13--con.fasta	HAP10	651	633	4	0	6	69301	27	41	50	4678.46	9389.22	730.98	1114752	216%	ASURE-pipeline--primers.fasta	750	0.003
ASHURE-full-20230314-trim	ASURE--All--A.fastq	ASURE-ref.fasta	2	TRUE	FALSE	FALSE	NA	654	ASHURE-full-20230314-trim--ASURE--All--A--clust--clust-14--con.fasta	HAP44	662	654	0	3	3	55027	27	41	50	4678.46	9389.22	730.98	1114752	216%	ASURE-pipeline--primers.fasta	750	0.003
ASHURE-full-20230314-trim	ASURE--All--A.fastq	ASURE-ref.fasta	2	TRUE	FALSE	FALSE	NA	658	ASHURE-full-20230314-trim--ASURE--All--A--clust--clust-15--con.fasta	HAP11	652	648	1	0	10	12053	27	41	50	4678.46	9389.22	730.98	1114752	216%	ASURE-pipeline--primers.fasta	750	0.003
ASHURE-full-20230314-trim	ASURE--All--A.fastq	ASURE-ref.fasta	2	TRUE	FALSE	FALSE	NA	658	NA	NA	NA	NA	NA	NA	NA	10402	27	41	50	4678.46	9389.22	730.98	1114752	216%	ASURE-pipeline--primers.fasta	750	0.003
ASHURE-full-20230314-trim	ASURE--All--A.fastq	ASURE-ref.fasta	2	TRUE	FALSE	FALSE	NA	658	ASHURE-full-20230314-trim--ASURE--All--A--clust--clust-19--con.fasta	HAP04	658	656	2	1	2	47146	27	41	50	4678.46	9389.22	730.98	1114752	216%	ASURE-pipeline--primers.fasta	750	0.003
ASHURE-full-20230314-trim	ASURE--All--A.fastq	ASURE-ref.fasta	2	TRUE	FALSE	FALSE	NA	658	ASHURE-full-20230314-trim--ASURE--All--A--clust--clust-1--con.fasta	HAP39	662	659	3	2	1	51469	27	41	50	4678.46	9389.22	730.98	1114752	216%	ASURE-pipeline--primers.fasta	750	0.003
ASHURE-full-20230314-trim	ASURE--All--A.fastq	ASURE-ref.fasta	2	TRUE	FALSE	FALSE	NA	658	ASHURE-full-20230314-trim--ASURE--All--A--clust--clust-20--con.fasta	HAP14	653	649	1	0	9	2682	27	41	50	4678.46	9389.22	730.98	1114752	216%	ASURE-pipeline--primers.fasta	750	0.003
ASHURE-full-20230314-trim	ASURE--All--A.fastq	ASURE-ref.fasta	2	TRUE	FALSE	FALSE	NA	658	ASHURE-full-20230314-trim--ASURE--All--A--clust--clust-21--con.fasta	HAP12	661	657	0	2	3	16016	27	41	50	4678.46	9389.22	730.98	1114752	216%	ASURE-pipeline--primers.fasta	750	0.003
ASHURE-full-20230314-trim	ASURE--All--A.fastq	ASURE-ref.fasta	2	TRUE	FALSE	FALSE	NA	658	ASHURE-full-20230314-trim--ASURE--All--A--clust--clust-25--con.fasta	HAP55	653	651	0	2	7	3988	27	41	50	4678.46	9389.22	730.98	1114752	216%	ASURE-pipeline--primers.fasta	750	0.003
ASHURE-full-20230314-trim	ASURE--All--A.fastq	ASURE-ref.fasta	2	TRUE	FALSE	FALSE	NA	658	ASHURE-full-20230314-trim--ASURE--All--A--clust--clust-26--con.fasta	HAP07	632	632	3	4	7	4794	27	41	50	4678.46	9389.22	730.98	1114752	216%	ASURE-pipeline--primers.fasta	750	0.003
ASHURE-full-20230314-trim	ASURE--All--A.fastq	ASURE-ref.fasta	2	TRUE	FALSE	FALSE	NA	658	ASHURE-full-20230314-trim--ASURE--All--A--clust--clust-29--con.fasta	HAP15	652	650	1	0	1	4879	27	41	50	4678.46	9389.22	730.98	1114752	216%	ASURE-pipeline--primers.fasta	750	0.003
ASHURE-full-20230314-trim	ASURE--All--A.fastq	ASURE-ref.fasta	2	TRUE	FALSE	FALSE	NA	658	ASHURE-full-20230314-trim--ASURE--All--A--clust--clust-2--con.fasta	HAP58	619	619	0	1	0	7404	27	41	50	4678.46	9389.22	730.98	1114752	216%	ASURE-pipeline--primers.fasta	750	0.003
ASHURE-full-20230314-trim	ASURE--All--A.fastq	ASURE-ref.fasta	2	TRUE	FALSE	FALSE	NA	655	ASHURE-full-20230314-trim--ASURE--All--A--clust--clust-34--con.fasta	HAP30	658	651	0	0	4	4178	27	41	50	4678.46	9389.22	730.98	1114752	216%	ASURE-pipeline--primers.fasta	750	0.003
